#model:doubleAnsatzdoubleEncoding, seed:42, epochs:100, learningRate:0.5, shots:1000 1st:model, 2nd:loss, 3rd:accuracy
[1.77148772 4.77294689 6.28748361 1.94796494 4.77548985 4.77465309
 1.12835783 3.91564277 2.87044071]
[0.61372985 0.58843528 0.56684875 0.54951308 0.53309116 0.51674799
 0.49863333 0.47901816 0.46021453 0.440829   0.42036986 0.40252741
 0.38274259 0.36248112 0.34434538 0.32724766 0.31222324 0.29987572
 0.28825341 0.27877552 0.2713991  0.26531885 0.2598379  0.25580734
 0.25247624 0.24986297 0.24796059 0.24598185 0.24438649 0.24325433
 0.24198617 0.24099317 0.2401387  0.23945369 0.23887096 0.23836694
 0.23784307 0.23735197 0.23680718 0.23639524 0.23603269 0.23572829
 0.23550582 0.23524699 0.2349313  0.23472244 0.23445653 0.23425375
 0.23406042 0.2338019  0.23366635 0.23355501 0.23352499 0.23345626
 0.2331742  0.23294937 0.23292985 0.23279949 0.23267112 0.23246436
 0.23233476 0.23226812 0.23223073 0.23224161 0.23223494 0.2322633
 0.23223187 0.23220651 0.23217738 0.23222002 0.2321126  0.23211143
 0.23206731 0.23203002 0.23201453 0.23201501 0.23198795 0.2320027
 0.23195666 0.23189117 0.2319002  0.23191159 0.23195173 0.23198948
 0.2320199  0.23199863 0.2320098  0.23200355 0.23200477 0.23200179
 0.2319451  0.23191157 0.23190231 0.23186278 0.23185042 0.2318059
 0.23182764 0.23184999 0.23181571 0.23184052]
[0.66 0.75 0.78 0.8  0.81 0.81 0.81 0.83 0.85 0.87 0.88 0.89 0.89 0.89
 0.9  0.91 0.91 0.94 0.94 0.96 0.97 0.97 0.98 0.98 0.98 0.98 0.99 0.99
 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99
 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99
 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99
 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99
 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99
 0.99 0.99]
