#model:doubleEncoding, seed:42, epochs:100, learningRate:1.25, shots:1000 1st:model, 2nd:loss, 3rd:accuracy
[6.28718054 0.01059655 1.80920821 2.90002879 3.12380735]
[0.72015251 0.70498133 0.69816674 0.69428566 0.69017422 0.68441611
 0.67672226 0.66441828 0.64385465 0.6124168  0.57010326 0.52394934
 0.4804185  0.44724722 0.42579837 0.41233402 0.40550555 0.40148494
 0.39987107 0.39885828 0.39792592 0.3972456  0.39714811 0.39720277
 0.397035   0.3970802  0.39711335 0.39720175 0.39699484 0.39694967
 0.39698411 0.39692977 0.39693823 0.39705729 0.39709781 0.39708398
 0.39720491 0.39724514 0.3973929  0.39744618 0.39749159 0.3975619
 0.39762896 0.39769001 0.39761323 0.397496   0.39758077 0.39762007
 0.39760707 0.39760667 0.39761067 0.39759102 0.39756456 0.39753387
 0.39753928 0.39754011 0.39755708 0.39763974 0.39762455 0.3976077
 0.3976227  0.39761476 0.39762312 0.39760413 0.39758084 0.39760663
 0.39762504 0.39764717 0.39765003 0.39765003 0.39765003 0.39765003
 0.39765003 0.39766853 0.39766853 0.39766853 0.39766853 0.39765684
 0.39765684 0.39763201 0.39763201 0.39763201 0.39768419 0.39765309
 0.39765309 0.39768419 0.39765309 0.39768419 0.39765309 0.39768419
 0.39768419 0.39765309 0.39768419 0.39768419 0.39765309 0.39768419
 0.39768419 0.39765309 0.39768419 0.39765309]
[0.4  0.43 0.42 0.47 0.51 0.56 0.58 0.6  0.76 0.81 0.85 0.84 0.87 0.87
 0.91 0.93 0.94 0.94 0.94 0.94 0.94 0.95 0.95 0.94 0.94 0.94 0.94 0.94
 0.94 0.94 0.94 0.94 0.94 0.94 0.93 0.93 0.93 0.93 0.93 0.93 0.93 0.93
 0.93 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92 0.92
 0.92 0.92]
